english	en_label	chinese	zh_label
Accounting problems raise more knotty issues	Accounting problems raise	会计问题引发更多棘手事件	会计问题引发
Prospective competition is one problem	Prospective competition is	预期的竞争是一个问题	预期的竞争是
These people have different agendas	These people have	这些人有不同的议程	这些人有
Pension reform was its main thrust	Pension reform was	养老金改革是其主要推动力	养老金改革是
Rising operating expenses are another problem	Rising operating expenses are	上升的运营费用是另一个问题	上升的运营费用是
Some institutional traders loved the wild ride	Some institutional traders loved	一些机构交易员喜欢这种疯狂的旅程	一些机构交易员喜欢
The plan lacked a withdrawal timetable	The plan lacked	该计划缺乏撤回时间表	该计划缺乏
Two election commission members opposed the matching plans	Two election commission members opposed	两名选举委员会成员反对配对计划	两名选举委员会成员反对
The suit seeks unspecified damages	The suit seeks	该诉讼寻求未具体说明的损害赔偿	该诉讼寻求
Many law firms sponsor their own programs	Many law firms	许多律师事务所赞助自己的项目	许多律师事务所赞助
Hostile takeovers are quite a new phenomenon	Hostile takeovers are	恶意收购是一个相当新的现象	恶意收购是
His father ran a construction company	His father ran	他的父亲经营一家建筑公司	他的父亲经营
Potential side effects include high blood pressure	Potential side effects include	可能的副作用包括高血压	可能的副作用包括
The federal judge granted a temporary restraining order	The federal judge granted	联邦法官授予临时限制令	联邦法官授予
This boy needs your help	This boy needs	这个男孩需要你的帮助	这个男孩需要
The young girl loves her new toy	The young girl loves	那个年轻的女孩爱她的新玩具	那个年轻的女孩爱
The old man feeds the stray cat	The old man feeds	那个老人喂那只流浪猫	那个老人喂
The diligent student learns her lessons	The diligent student learns	勤奋的学生学习她的课程	勤奋的学生学习
My little brother enjoys this interesting game	My little brother enjoys	我的小弟弟享受这个有趣的游戏	我的小弟弟享受
Local residents appreciate the beautiful park	Local residents appreciate	当地居民欣赏美丽的公园	当地居民欣赏
Your father deserves a vacation	Your father deserves	你的父亲值得一个假期	你的父亲值得
Our friendly neighbor shares his delicious food	Our friendly neighbor shares	我们友好的邻居分享他美味的食物	我们友好的邻居分享
Their enthusiastic coach trains the young team	Their enthusiastic coach trains	他们热情的教练训练年轻的团队	他们热情的教练训练
The local community supports our fundraising event	The local community supports	当地社区支持我们的筹款活动	当地社区支持
Her father protects the family	Her father protects	她的父亲保护家人	她的父亲保护
The urban children receive free education	The urban children receive	城市的孩子接收免费的教育	城市的孩子
City dwellers crave a quiet countryside life	City dwellers crave	城市居民渴望安静的乡村生活	城市居民渴望
Most people respect this great leader	Most people respect	大部分人尊敬这位伟大的领导者	大部分人尊敬
My friends cherish our high school memories	My friends cherish	我的朋友们珍惜我们的高中回忆	我的朋友们珍惜
This beautiful painting evokes strong emotions	This beautiful painting evokes	这幅美丽的画引发强烈的情感	这幅美丽的画引发
